sub_field_name,sub_field_id,topic_name,topic_id,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Artificial Intelligence,https://openalex.org/subfields/1702,Bayesian Modeling and Causal Inference,https://openalex.org/T11303,66,64,74,71,78,70,85,81,90,78,86,94,104,124,105,113,149,177,203,167,251,230,243,270,291,324,344,351,349,424,412,421,762,653,648,794,829,871,846,875,986,948,892,962,974,889,914,814,849,859,814,844,567,598,617
Artificial Intelligence,https://openalex.org/subfields/1702,Coding theory and cryptography,https://openalex.org/T11130,134,133,155,129,131,156,164,140,185,133,178,152,177,221,225,214,226,240,288,278,367,342,449,436,468,504,503,494,545,588,548,689,1561,1076,951,1266,1132,1224,1231,1188,1361,1411,1389,1463,1398,1418,1403,1420,1409,1415,1416,1365,1305,1304,1218
Artificial Intelligence,https://openalex.org/subfields/1702,Cognitive Computing and Networks,https://openalex.org/T13062,13,17,17,21,19,12,17,12,26,14,14,21,24,26,31,33,36,39,38,47,50,45,61,60,48,63,58,57,72,77,93,108,171,168,237,264,334,317,372,416,440,469,392,375,367,340,324,304,297,291,279,216,209,224,401
Artificial Intelligence,https://openalex.org/subfields/1702,Cognitive Science and Mapping,https://openalex.org/T12805,61,50,74,69,97,99,96,73,111,104,109,134,120,103,118,131,157,200,183,207,217,222,222,225,259,247,280,259,291,295,303,304,447,407,411,434,480,509,558,676,658,768,769,825,858,849,801,805,955,958,905,732,642,669,810
Artificial Intelligence,https://openalex.org/subfields/1702,Computational Physics and Python Applications,https://openalex.org/T13650,148,136,145,129,131,162,131,175,140,136,162,142,160,183,183,203,231,258,254,286,297,277,279,291,310,356,353,360,364,386,398,473,514,507,510,588,589,614,636,681,703,778,850,777,881,978,1035,1001,1152,1253,1204,1060,685,793,1081
Artificial Intelligence,https://openalex.org/subfields/1702,Computer Science and Engineering,https://openalex.org/T13674,14,18,20,8,13,36,12,7,6,11,9,17,15,22,20,25,21,33,26,30,35,29,33,47,34,38,45,43,39,75,85,97,138,137,190,225,385,434,591,745,1089,1117,1239,1579,1543,2013,2182,2533,2521,2674,2515,1865,1628,2085,2793
Artificial Intelligence,https://openalex.org/subfields/1702,Cryptographic Implementations and Security,https://openalex.org/T10951,5,4,4,4,3,3,7,3,8,9,9,17,12,23,14,6,16,26,18,24,24,29,29,41,41,39,50,59,69,93,129,98,235,249,279,397,444,494,574,653,720,763,909,814,886,880,964,934,985,1016,928,955,927,977,819
Artificial Intelligence,https://openalex.org/subfields/1702,Cryptography and Data Security,https://openalex.org/T10237,3,7,2,4,11,2,5,6,10,10,9,13,27,28,24,42,33,56,53,57,74,73,88,107,119,119,141,132,161,191,208,217,515,511,707,821,1056,1238,1295,1473,1508,1613,1666,1997,2026,2125,2112,2019,2092,2219,2067,2084,1950,2198,1880
Artificial Intelligence,https://openalex.org/subfields/1702,Data Analysis with R,https://openalex.org/T13398,5,10,12,7,14,11,13,9,12,9,15,25,15,22,18,14,22,30,31,28,29,21,25,32,26,32,19,25,23,40,35,39,44,58,52,56,75,86,97,117,140,166,159,175,217,292,319,414,406,509,1052,1080,151,148,145
Artificial Intelligence,https://openalex.org/subfields/1702,Data Stream Mining Techniques,https://openalex.org/T12761,6,3,2,3,3,2,4,2,2,5,5,3,5,4,3,6,3,9,8,8,8,11,5,5,12,15,18,16,22,21,29,32,70,83,99,146,185,229,211,229,287,320,315,429,455,484,576,645,663,790,807,828,739,819,828
