sub_field_name,sub_field_id,topic_name,topic_id,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Artificial Intelligence,https://openalex.org/subfields/1702,Solar Radiation and Photovoltaics,https://openalex.org/T11276,85,56,94,101,103,110,151,174,170,189,176,233,175,207,192,168,188,172,190,166,212,185,182,172,179,207,223,208,213,195,253,264,344,374,383,375,384,375,494,559,817,795,1014,1131,1348,1340,1434,1565,1764,1821,1854,1938,1951,2242,2227
Artificial Intelligence,https://openalex.org/subfields/1702,Speech and dialogue systems,https://openalex.org/T12031,85,60,78,91,81,109,92,109,80,130,116,112,159,164,151,170,194,260,242,323,345,320,392,427,468,394,446,523,596,572,743,627,1207,1019,1078,1080,1155,1180,1118,1167,1199,1041,1072,1057,1059,984,976,856,993,962,863,683,575,687,1175
Artificial Intelligence,https://openalex.org/subfields/1702,Speech Recognition and Synthesis,https://openalex.org/T10201,75,53,59,71,91,86,108,90,100,90,108,102,122,154,176,156,174,237,266,381,463,480,481,515,561,540,592,586,772,769,774,656,2319,1251,1226,1552,1538,1521,1583,1562,1763,1637,1728,1742,1822,1782,1915,1711,1910,2113,2137,2305,2151,2534,2853
Artificial Intelligence,https://openalex.org/subfields/1702,Statistical and Computational Modeling,https://openalex.org/T14351,82,77,78,71,56,74,66,90,85,72,95,70,78,83,99,104,124,81,90,105,136,120,101,99,110,105,119,118,117,125,151,121,195,185,187,212,200,207,238,248,289,316,366,334,380,446,371,389,442,491,445,446,335,303,336
Artificial Intelligence,https://openalex.org/subfields/1702,Stochastic Gradient Optimization Techniques,https://openalex.org/T11612,4,5,4,5,2,1,3,3,4,3,5,9,5,5,8,8,10,12,12,12,12,11,7,21,14,7,16,8,14,9,10,9,27,18,12,16,9,18,13,24,35,44,59,80,123,154,209,280,437,494,560,618,368,390,353
Artificial Intelligence,https://openalex.org/subfields/1702,Target Tracking and Data Fusion in Sensor Networks,https://openalex.org/T10711,116,155,170,158,150,192,160,187,163,190,160,163,195,180,156,203,161,177,193,246,277,284,231,284,268,261,277,337,333,408,444,412,1402,1082,1012,1447,1630,1527,1671,1785,1950,1977,2014,1930,1763,1639,1588,1537,1535,1638,1340,1394,1257,1309,1288
Artificial Intelligence,https://openalex.org/subfields/1702,Text and Document Classification Technologies,https://openalex.org/T11550,4,6,3,7,6,12,4,2,9,3,5,3,5,8,7,3,14,12,10,8,12,20,17,13,25,34,33,40,51,76,106,119,262,290,341,380,484,493,605,601,680,654,712,762,796,836,816,871,1035,1111,1023,969,981,1063,1294
Artificial Intelligence,https://openalex.org/subfields/1702,Text Readability and Simplification,https://openalex.org/T13629,37,41,31,48,50,62,69,54,62,74,79,86,76,73,67,69,50,61,55,55,65,53,65,65,67,70,55,70,56,69,92,72,71,103,100,82,112,143,167,167,195,204,262,304,333,303,367,312,406,420,422,452,403,524,562
Artificial Intelligence,https://openalex.org/subfields/1702,Topic Modeling,https://openalex.org/T10028,17,24,16,17,25,20,14,30,20,30,27,27,24,33,25,23,25,36,42,45,50,52,58,62,59,69,66,70,103,111,163,175,269,329,398,415,453,575,703,730,901,931,1042,1191,1282,1617,2056,2412,3398,4476,5559,6952,6111,8234,6776
Artificial Intelligence,https://openalex.org/subfields/1702,Wireless Signal Modulation Classification,https://openalex.org/T12131,4,2,2,1,2,1,2,3,3,2,2,1,1,0,3,8,1,5,6,7,4,5,7,3,10,16,14,9,14,19,12,26,108,64,71,113,156,151,160,224,255,249,247,261,234,210,222,273,323,623,735,1009,1090,1322,1093
Computational Theory and Mathematics,https://openalex.org/subfields/1703,Adaptive Dynamic Programming Control,https://openalex.org/T12794,1,2,1,2,0,0,1,1,1,1,1,1,1,3,0,1,2,0,2,3,3,2,6,3,7,9,5,11,12,12,19,20,67,55,33,52,52,71,77,96,97,140,147,180,231,207,233,302,336,434,488,558,615,842,675
Computational Theory and Mathematics,https://openalex.org/subfields/1703,Advanced Algebra and Logic,https://openalex.org/T11727,477,533,590,477,550,547,483,509,457,467,491,484,493,512,513,530,458,447,489,510,580,527,594,590,583,674,680,569,614,672,833,707,895,871,884,933,908,1024,1026,1039,1132,1020,1022,1060,985,1056,981,951,955,1020,890,859,744,708,779
Computational Theory and Mathematics,https://openalex.org/subfields/1703,Advanced Graph Theory Research,https://openalex.org/T10374,108,97,131,151,160,147,148,153,187,209,208,249,262,239,264,274,301,339,349,445,413,413,440,482,541,545,622,605,638,690,733,698,844,912,854,1004,1134,1207,1342,1328,1363,1464,1543,1469,1483,1630,1533,1585,1657,1531,1700,1575,1500,1372,1233
Computational Theory and Mathematics,https://openalex.org/subfields/1703,Advanced Mathematical Modeling in Engineering,https://openalex.org/T12100,327,342,380,404,452,415,429,430,403,430,501,461,541,491,541,616,572,609,637,723,730,776,743,825,849,949,987,1116,1174,1106,1209,1338,1365,1455,1528,1611,1708,1793,1823,1784,1883,1897,1887,1904,2018,2008,1957,1883,1971,1903,1798,1689,1629,1597,2005
Computational Theory and Mathematics,https://openalex.org/subfields/1703,Advanced Multi-Objective Optimization Algorithms,https://openalex.org/T10848,15,20,20,21,16,14,17,20,21,25,30,25,30,25,35,35,40,36,51,45,57,59,76,66,79,91,136,108,170,148,211,243,418,391,483,508,671,678,758,844,943,966,1002,1023,1076,1084,1116,1154,1235,1282,1309,1424,1518,1488,1439
Computational Theory and Mathematics,https://openalex.org/subfields/1703,Cellular Automata and Applications,https://openalex.org/T12162,104,89,111,104,112,87,95,107,95,118,117,138,128,143,183,179,262,256,240,266,315,350,328,369,366,409,421,403,371,438,462,388,1018,721,654,812,728,673,755,783,782,701,731,698,685,644,659,597,556,577,471,440,327,323,503
Computational Theory and Mathematics,https://openalex.org/subfields/1703,Chaos Complexity and Education,https://openalex.org/T12469,6,7,10,6,7,11,13,15,12,11,6,10,8,9,17,21,13,21,18,22,32,35,29,41,40,54,33,55,48,45,62,63,79,64,77,87,76,86,87,100,81,79,92,93,91,65,64,49,51,51,32,36,21,20,33
Computational Theory and Mathematics,https://openalex.org/subfields/1703,Complexity and Algorithms in Graphs,https://openalex.org/T10720,2,2,5,4,7,5,10,8,15,15,29,26,41,49,46,57,89,79,91,115,109,143,178,185,227,232,210,259,250,239,257,242,595,406,361,414,425,429,457,473,506,490,511,515,540,559,575,574,616,580,596,564,474,404,280
Computational Theory and Mathematics,https://openalex.org/subfields/1703,Computability Logic AI Algorithms,https://openalex.org/T12002,362,331,339,386,394,368,361,365,365,360,361,367,352,393,371,363,458,456,559,496,525,524,499,525,504,571,582,564,581,603,584,597,881,793,819,888,840,920,895,942,969,961,1050,996,959,940,992,977,961,951,929,849,682,631,907
Computational Theory and Mathematics,https://openalex.org/subfields/1703,Computational Drug Discovery Methods,https://openalex.org/T10211,215,194,204,205,237,260,243,251,266,303,269,290,289,312,347,410,414,422,454,454,531,530,501,610,631,680,733,662,788,802,944,1017,1155,1305,1582,1648,1850,1981,2216,2262,2433,2659,2873,3070,2933,2988,3087,3085,3374,3630,4902,5508,5270,5738,6134
Computational Theory and Mathematics,https://openalex.org/subfields/1703,Contact Mechanics and Variational Inequalities,https://openalex.org/T12809,98,73,65,72,81,96,81,89,90,85,104,100,136,117,133,144,134,154,140,160,170,180,185,186,204,237,223,247,271,255,314,294,318,315,332,327,319,355,338,394,346,353,335,323,331,324,277,332,304,308,316,315,305,309,350
Computational Theory and Mathematics,https://openalex.org/subfields/1703,Formal Methods in Verification,https://openalex.org/T10142,45,48,40,52,39,73,69,53,87,80,106,104,126,132,158,180,210,207,276,275,342,406,431,504,533,563,604,541,606,695,791,782,2616,1551,1388,1518,1514,1350,1369,1348,1431,1354,1327,1339,1294,1259,1169,1086,1166,945,948,914,718,766,628
Computational Theory and Mathematics,https://openalex.org/subfields/1703,Graph Labeling and Dimension Problems,https://openalex.org/T12541,48,31,38,39,52,43,66,50,48,52,56,63,51,73,49,60,45,55,66,68,88,85,80,91,73,105,140,139,110,148,198,194,207,246,272,282,398,403,455,467,493,600,688,651,648,751,713,765,884,907,986,975,787,833,758
Computational Theory and Mathematics,https://openalex.org/subfields/1703,Mathematics Computing and Information Processing,https://openalex.org/T13523,75,74,74,71,63,85,98,92,90,85,83,89,81,102,122,123,158,183,190,195,226,197,238,229,245,241,218,217,244,260,279,295,327,331,332,411,393,390,386,424,419,440,484,542,470,464,540,462,435,465,471,278,208,211,269
Computational Theory and Mathematics,https://openalex.org/subfields/1703,Matrix Theory and Algorithms,https://openalex.org/T10792,648,645,682,710,741,674,695,642,659,687,693,711,692,700,801,730,820,894,966,1066,1043,1013,1162,1110,1185,1143,1156,1255,1243,1204,1343,1269,1770,1691,1627,1807,1815,1879,1961,2012,2092,2079,1943,2056,1965,1950,1806,1665,1644,1614,1510,1404,1275,1351,1580
Computational Theory and Mathematics,https://openalex.org/subfields/1703,Modeling and Simulation Systems,https://openalex.org/T13286,33,36,42,26,23,24,29,37,33,46,40,42,49,46,44,52,64,49,64,59,62,83,67,90,93,96,100,116,131,150,171,154,265,259,199,257,263,264,300,331,285,352,353,339,381,371,262,334,232,285,191,178,95,118,81
Computational Theory and Mathematics,https://openalex.org/subfields/1703,Numerical Methods and Algorithms,https://openalex.org/T11697,115,117,153,160,141,162,146,153,189,174,157,202,158,208,171,215,222,273,229,265,296,309,317,295,283,284,317,265,311,325,333,320,1080,778,575,751,748,610,586,645,619,685,652,738,733,657,612,586,550,519,480,454,355,424,387
Computational Theory and Mathematics,https://openalex.org/subfields/1703,Optimization and Variational Analysis,https://openalex.org/T10545,159,152,163,212,184,198,221,221,212,209,214,218,238,236,241,253,270,282,282,285,338,353,394,361,460,438,506,510,484,514,607,691,771,871,872,1023,1228,1435,1424,1474,1598,1700,1584,1576,1436,1184,1102,1133,1154,1232,1309,1297,1179,1033,1061
Computational Theory and Mathematics,https://openalex.org/subfields/1703,Petri Nets in System Modeling,https://openalex.org/T11125,27,22,23,28,24,31,24,31,31,48,48,56,62,66,86,109,117,167,146,154,222,316,315,313,345,365,400,396,415,384,398,409,2076,1070,830,866,954,762,781,830,864,850,810,731,751,620,569,529,544,471,479,398,369,325,290
Computational Theory and Mathematics,https://openalex.org/subfields/1703,Polynomial and algebraic computation,https://openalex.org/T11435,100,96,110,114,104,114,125,100,111,96,125,118,130,99,123,154,145,142,148,181,204,199,215,220,204,238,255,255,236,259,305,304,361,341,402,453,444,419,420,482,498,544,522,490,481,506,517,457,431,457,448,372,416,382,475
Computational Theory and Mathematics,https://openalex.org/subfields/1703,Quantum-Dot Cellular Automata,https://openalex.org/T13182,6,14,13,10,11,15,15,8,5,14,17,7,8,17,16,12,22,12,20,13,12,19,19,31,28,25,32,61,50,54,78,81,141,154,158,199,247,210,230,175,211,224,278,270,285,321,342,393,348,361,334,361,319,316,449
Computational Theory and Mathematics,https://openalex.org/subfields/1703,Rough Sets and Fuzzy Logic,https://openalex.org/T11063,39,50,55,44,36,41,46,39,37,42,53,55,61,58,70,85,82,89,107,97,114,111,152,125,174,200,224,210,251,303,403,502,911,921,1041,1357,1567,1877,2168,2225,2318,2015,1864,1721,1524,1426,1207,1067,1117,1158,1064,999,1042,961,1013
Computational Theory and Mathematics,https://openalex.org/subfields/1703,semigroups and automata theory,https://openalex.org/T11567,329,326,340,332,359,348,330,303,310,295,338,315,332,304,311,319,367,274,321,348,319,375,398,384,415,419,461,392,406,432,477,533,655,638,641,621,642,722,703,769,823,904,804,720,766,748,718,652,661,657,632,610,501,541,470
Computational Theory and Mathematics,https://openalex.org/subfields/1703,Topological and Geometric Data Analysis,https://openalex.org/T12536,62,43,59,53,43,67,55,61,57,56,43,63,49,60,57,61,76,70,80,72,71,85,87,101,97,83,102,119,98,128,85,123,153,150,150,197,194,233,255,270,289,323,353,358,346,394,457,477,516,642,627,644,589,650,609
Computer Graphics and Computer-Aided Design,https://openalex.org/subfields/1704,Computational Geometry and Mesh Generation,https://openalex.org/T10996,79,92,106,105,92,90,98,103,106,120,133,135,154,185,219,294,291,345,343,391,440,540,597,597,553,578,656,632,606,609,699,667,951,892,787,865,879,930,862,997,883,898,924,870,870,858,780,787,690,675,711,623,522,491,582
Computer Graphics and Computer-Aided Design,https://openalex.org/subfields/1704,Computer Graphics and Visualization Techniques,https://openalex.org/T10481,79,58,54,53,66,73,55,86,104,97,105,140,146,180,207,228,269,311,272,349,480,436,533,510,548,611,607,715,727,800,881,1016,2152,1815,1879,2016,2072,1909,1799,1870,1993,1817,1558,1569,1379,1339,1232,1146,1032,1047,971,887,765,902,1217
Computer Graphics and Computer-Aided Design,https://openalex.org/subfields/1704,Digital Media and Visual Art,https://openalex.org/T14254,33,34,47,42,36,50,49,44,41,42,51,44,49,51,54,65,57,68,75,85,73,83,88,99,77,112,118,117,136,187,543,853,1125,1420,1583,1797,2068,2636,2800,3147,3317,3295,2243,2029,2046,2128,1766,1655,1955,2311,2617,2988,3002,3809,4027
Computer Graphics and Computer-Aided Design,https://openalex.org/subfields/1704,Transportation Systems and Safety,https://openalex.org/T13615,45,30,31,47,52,60,57,63,63,65,59,55,48,53,58,63,68,64,71,60,68,56,108,89,100,100,109,135,323,312,304,318,392,396,425,408,437,497,488,542,620,610,644,615,746,728,705,611,586,497,435,275,264,268,315
Computer Networks and Communications,https://openalex.org/subfields/1705,Advanced Authentication Protocols Security,https://openalex.org/T11504,1,0,2,1,1,0,1,0,2,0,6,10,12,8,5,15,8,17,12,20,20,10,27,45,31,59,59,50,79,107,115,139,359,327,335,472,499,486,594,589,622,566,587,571,565,542,533,580,484,527,544,533,488,465,468
Computer Networks and Communications,https://openalex.org/subfields/1705,Advanced Data Storage Technologies,https://openalex.org/T11181,86,106,103,123,108,145,134,138,140,145,165,208,177,205,215,216,259,300,309,365,415,454,453,629,623,558,664,632,606,625,683,667,2092,1455,1107,1496,1442,1477,1600,1690,1946,1992,2060,2132,2223,2264,2118,2070,1972,1920,1617,1464,1280,1303,1552
Computer Networks and Communications,https://openalex.org/subfields/1705,Advanced Database Systems and Queries,https://openalex.org/T10317,107,104,96,123,139,245,275,274,336,395,509,478,579,643,613,624,754,793,770,904,881,967,1014,1079,1018,1016,1069,1101,1033,1215,1139,1243,2856,2079,1744,1982,1778,1838,1711,1667,1790,1558,1529,1387,1321,1198,1185,1042,961,845,711,561,406,408,602
Computer Networks and Communications,https://openalex.org/subfields/1705,Advanced Statistical Modeling Techniques,https://openalex.org/T13748,24,26,20,28,26,19,30,33,42,33,28,36,37,42,34,46,35,51,47,26,50,37,56,48,47,40,48,50,58,40,48,47,49,52,48,75,86,91,84,85,102,124,112,152,178,150,161,169,170,168,166,145,129,136,130
Computer Networks and Communications,https://openalex.org/subfields/1705,Advanced Technologies and Applied Computing,https://openalex.org/T13345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,3,0,4,4,1,7,3,3,5,2,15,12,24,20,112,300,269,72
Computer Networks and Communications,https://openalex.org/subfields/1705,Age of Information Optimization,https://openalex.org/T13553,0,1,3,2,2,0,3,1,0,3,3,0,0,1,4,4,4,2,1,1,3,2,3,2,2,3,6,7,5,6,12,9,10,14,9,21,22,22,29,17,33,32,33,35,41,45,43,81,151,286,374,520,579,715,459
Computer Networks and Communications,https://openalex.org/subfields/1705,Bluetooth and Wireless Communication Technologies,https://openalex.org/T12801,17,26,24,15,20,20,32,23,23,30,27,34,35,26,31,25,27,35,43,30,39,58,41,45,59,57,50,65,78,79,165,278,552,683,708,653,745,665,610,651,608,573,648,658,614,662,692,663,687,551,496,447,300,269,315
Computer Networks and Communications,https://openalex.org/subfields/1705,Caching and Content Delivery,https://openalex.org/T11478,4,2,2,0,2,5,2,6,2,2,5,4,7,13,15,13,15,20,6,21,24,24,24,43,57,58,81,121,182,218,236,299,656,702,774,754,770,759,756,946,1036,1209,1530,1659,1837,1814,1964,2118,2196,2103,1687,1440,1324,1308,1197
Computer Networks and Communications,https://openalex.org/subfields/1705,Cognitive Radio Networks and Spectrum Sensing,https://openalex.org/T10579,2,1,1,1,2,1,2,2,0,1,0,2,4,4,2,3,7,4,5,1,1,2,1,2,2,2,2,0,1,4,5,6,20,14,14,57,164,497,919,1441,1996,2165,2381,2426,2449,2053,1738,1541,1347,1155,954,795,640,544,439
Computer Networks and Communications,https://openalex.org/subfields/1705,Constraint Satisfaction and Optimization,https://openalex.org/T11596,48,39,50,32,61,49,56,57,46,72,67,80,79,72,78,111,137,160,158,195,219,277,312,339,341,358,353,397,397,364,463,376,907,615,599,650,677,659,639,571,589,560,481,560,485,479,439,420,368,359,301,345,184,215,257
Computer Networks and Communications,https://openalex.org/subfields/1705,Cooperative Communication and Network Coding,https://openalex.org/T10796,17,12,11,13,10,5,16,17,8,18,16,20,21,25,23,31,33,28,25,57,22,33,59,51,64,51,37,54,61,70,84,102,354,349,460,898,1410,1878,2650,3371,4126,4207,4308,3896,3582,2821,2425,1896,1512,1300,929,737,567,566,567
Computer Networks and Communications,https://openalex.org/subfields/1705,Cultural Insights and Digital Impacts,https://openalex.org/T13807,134,107,127,112,143,156,157,168,181,193,209,241,230,264,295,351,364,395,402,400,395,423,445,460,525,606,611,650,678,741,860,925,1168,1135,1384,1542,1764,1995,2145,2548,2774,2961,3420,3614,4038,4369,4143,4583,4138,3941,3617,2782,1595,1704,1589
Computer Networks and Communications,https://openalex.org/subfields/1705,Cybersecurity and Information Systems,https://openalex.org/T13983,57,78,52,22,26,40,24,37,27,33,30,32,39,44,50,24,60,46,32,35,35,39,37,34,48,31,39,48,50,60,67,63,97,99,122,105,126,124,192,270,259,322,411,468,530,551,507,556,677,851,868,794,750,717,573
Computer Networks and Communications,https://openalex.org/subfields/1705,Distributed and Parallel Computing Systems,https://openalex.org/T10715,208,236,274,305,345,380,436,380,438,507,443,536,614,689,733,804,1068,1047,1216,1108,1171,1244,1408,1544,1694,1542,1577,1775,1713,1965,2044,2322,4381,3927,4429,5469,6083,5603,5806,5275,5462,4900,4662,4153,4062,3847,3372,3326,2727,2620,2234,1582,1099,1187,2421
Computer Networks and Communications,https://openalex.org/subfields/1705,Distributed Control Multi-Agent Systems,https://openalex.org/T10249,1,2,1,2,4,1,4,2,2,3,5,1,7,3,4,7,4,9,5,10,8,13,17,7,14,10,11,9,21,29,18,43,118,122,255,266,511,607,810,976,1161,1430,1650,1765,2013,1933,2126,2284,2563,2809,2856,2792,3018,3266,2763
Computer Networks and Communications,https://openalex.org/subfields/1705,Distributed Sensor Networks and Detection Algorithms,https://openalex.org/T12879,24,22,23,27,30,47,32,35,43,38,47,39,42,49,48,50,43,67,54,61,56,89,83,79,80,62,69,74,86,66,63,65,274,182,172,286,317,380,398,446,441,480,465,478,529,401,437,401,409,383,353,323,289,344,388
Computer Networks and Communications,https://openalex.org/subfields/1705,Distributed systems and fault tolerance,https://openalex.org/T10772,31,37,40,39,47,47,77,74,110,121,152,203,259,325,339,383,395,491,578,521,629,694,706,793,776,737,754,845,739,798,786,750,3830,2101,1398,1463,1487,1382,1449,1348,1462,1355,1440,1263,1380,1227,1211,1152,1084,1003,905,819,681,708,782
Computer Networks and Communications,https://openalex.org/subfields/1705,Educational Research and Pedagogy,https://openalex.org/T13836,163,150,135,116,123,129,117,122,123,117,118,106,117,109,114,102,123,131,131,137,130,163,181,184,166,156,196,247,240,273,358,374,542,563,719,764,838,990,1024,1202,1302,1390,1553,1566,1780,1882,1713,1654,1695,1744,1873,1162,1015,1072,1864
Computer Networks and Communications,https://openalex.org/subfields/1705,Energy Efficient Wireless Sensor Networks,https://openalex.org/T10080,25,9,13,14,13,11,10,12,19,18,12,28,31,20,33,16,44,34,34,34,31,37,39,42,46,49,61,56,80,64,122,154,365,649,1092,2009,3134,4014,4453,5013,5527,5300,5600,5489,5562,5014,4633,4076,3841,3589,2886,2671,2281,2116,2400
Computer Networks and Communications,https://openalex.org/subfields/1705,Error Correcting Code Techniques,https://openalex.org/T11321,15,20,24,10,15,7,15,10,15,17,12,15,19,15,18,10,23,19,19,29,31,37,27,33,33,43,25,44,41,45,49,118,418,443,589,775,1014,872,1030,1064,1149,1064,1082,1036,1072,934,941,871,949,992,808,907,802,763,557
Computer Networks and Communications,https://openalex.org/subfields/1705,Interconnection Networks and Systems,https://openalex.org/T10829,42,53,59,50,65,66,80,72,122,107,144,150,226,228,236,276,348,474,509,585,671,815,855,864,991,924,1006,955,849,783,795,720,4225,2167,1433,1836,1816,1722,1757,1987,2005,1915,1835,1760,1746,1612,1497,1351,1264,1163,998,890,782,760,901
Computer Networks and Communications,https://openalex.org/subfields/1705,Internet of Things and Social Network Interactions,https://openalex.org/T13924,10,11,9,12,8,11,15,22,13,17,18,24,27,41,49,41,51,86,64,106,128,87,104,112,164,191,188,232,299,309,351,405,617,765,921,1003,1404,1509,1722,1716,1801,1798,1564,1527,1547,1431,1262,846,649,614,509,372,247,254,402
Computer Networks and Communications,https://openalex.org/subfields/1705,IoT and Edge/Fog Computing,https://openalex.org/T10273,3,0,5,2,3,2,3,2,8,5,4,9,7,1,10,12,10,14,12,13,22,13,15,20,21,15,24,36,45,57,41,50,62,65,70,103,99,136,132,159,253,431,678,883,1330,1810,2484,3344,4737,5658,5655,5976,5888,6091,5636
Computer Networks and Communications,https://openalex.org/subfields/1705,Media and Digital Communication,https://openalex.org/T13745,264,41,72,79,71,75,65,59,65,103,120,125,119,119,130,142,182,209,221,224,272,238,322,391,533,544,778,801,901,887,1111,992,1177,1215,1418,1926,1860,1977,2293,2289,2869,3263,3203,3148,3049,3420,3046,2616,2630,2483,2073,1504,576,544,873
Computer Networks and Communications,https://openalex.org/subfields/1705,Mobile Ad Hoc Networks,https://openalex.org/T10246,6,2,1,0,4,1,6,4,7,3,6,8,8,17,16,8,17,25,14,11,19,23,21,29,25,34,33,44,66,121,156,347,973,1344,1902,2626,3348,3207,3640,3559,3623,3453,3490,3357,3461,2620,2236,1792,1585,1354,931,838,704,587,514
Computer Networks and Communications,https://openalex.org/subfields/1705,Mobile Agent-Based Network Management,https://openalex.org/T12203,45,36,28,44,54,50,72,48,66,66,96,92,106,151,133,167,198,190,212,216,262,258,317,430,461,552,672,829,886,1084,1353,1610,3266,2665,2524,2778,2621,2503,2331,2477,2380,2129,1846,1528,1272,1056,902,797,742,663,534,389,281,322,492
Computer Networks and Communications,https://openalex.org/subfields/1705,Network Security and Intrusion Detection,https://openalex.org/T10400,18,7,11,6,11,8,17,10,9,10,10,22,17,14,19,21,26,21,36,40,46,39,45,63,76,103,132,142,162,261,318,427,887,1148,1657,2018,2409,2436,2768,3003,2956,2882,3054,2967,3051,2958,3148,3223,3787,4282,4764,5090,5539,6921,9144
Computer Networks and Communications,https://openalex.org/subfields/1705,Network Time Synchronization Technologies,https://openalex.org/T12216,13,27,24,22,28,37,29,36,30,37,39,36,65,68,54,59,71,84,61,51,60,64,88,54,76,98,86,95,94,102,111,109,325,294,311,383,487,536,584,564,678,704,664,669,677,610,557,535,576,554,572,573,516,627,596
Computer Networks and Communications,https://openalex.org/subfields/1705,Network Traffic and Congestion Control,https://openalex.org/T10138,9,3,6,9,5,6,19,17,23,20,19,37,40,44,46,37,59,62,85,98,177,218,276,328,422,534,632,691,890,1082,1059,1271,5286,3178,3011,2946,2935,2320,2316,2251,1973,1737,1559,1332,1171,1017,917,745,696,723,524,426,380,412,352
Computer Networks and Communications,https://openalex.org/subfields/1705,Neural Networks Stability and Synchronization,https://openalex.org/T11347,3,6,8,0,0,1,3,2,3,3,2,2,4,1,5,5,8,5,9,11,25,31,37,69,55,69,84,85,101,129,108,141,709,444,319,501,695,671,922,969,981,977,981,967,1033,959,897,1039,1104,1144,1139,1222,1184,1231,941
Computer Networks and Communications,https://openalex.org/subfields/1705,Nonlinear Dynamics and Pattern Formation,https://openalex.org/T11187,113,105,138,150,151,187,219,234,226,268,302,315,381,413,442,540,566,583,640,659,715,754,818,793,913,1023,1106,1109,1113,1022,1182,1140,1393,1346,1346,1438,1387,1413,1471,1395,1324,1405,1397,1402,1480,1459,1345,1392,1359,1412,1304,1283,1168,1203,1185
Computer Networks and Communications,https://openalex.org/subfields/1705,Opportunistic and Delay-Tolerant Networks,https://openalex.org/T11896,8,4,7,2,5,4,4,7,10,6,4,9,10,12,9,8,14,25,20,20,18,22,19,21,31,30,31,39,49,36,62,94,212,203,243,393,557,695,851,1011,1293,1402,1504,1484,1599,1509,1386,1207,1015,948,720,630,527,507,501
Computer Networks and Communications,https://openalex.org/subfields/1705,Optimization and Search Problems,https://openalex.org/T12288,38,36,38,76,49,55,51,50,54,82,83,92,64,96,99,94,86,118,105,128,140,160,179,185,178,223,222,235,260,252,254,269,500,398,418,396,466,500,443,567,570,579,575,589,558,573,576,590,540,619,578,550,474,474,549
Computer Networks and Communications,https://openalex.org/subfields/1705,Peer-to-Peer Network Technologies,https://openalex.org/T10742,5,1,3,2,3,6,20,11,9,4,10,5,8,7,12,8,14,23,11,18,23,29,39,34,57,89,99,133,121,172,199,276,769,1024,1665,1907,2482,2686,2916,3017,2736,2249,1916,1551,1245,956,755,599,514,427,346,273,195,210,268
Computer Networks and Communications,https://openalex.org/subfields/1705,Security in Wireless Sensor Networks,https://openalex.org/T11498,3,1,0,0,0,0,2,1,2,0,0,1,4,3,3,1,5,5,1,2,1,1,4,2,5,4,7,7,12,21,25,34,80,115,221,351,612,661,884,905,958,895,949,1048,1138,921,811,733,712,608,531,496,433,404,443
Computer Networks and Communications,https://openalex.org/subfields/1705,Sensor Technology and Measurement Systems,https://openalex.org/T12564,792,697,646,635,787,849,794,769,725,833,848,752,734,844,841,900,891,905,926,914,926,937,944,888,926,915,962,886,1028,1077,1298,1293,2462,2012,2022,2300,2477,2344,2524,2522,2517,2596,2455,2571,2474,2300,2352,2245,2354,2091,1780,1411,1122,1196,2187
Computer Networks and Communications,https://openalex.org/subfields/1705,Smart Systems and Machine Learning,https://openalex.org/T13693,0,1,1,1,1,2,3,3,1,1,1,1,1,0,0,0,1,3,5,3,5,3,3,0,3,8,4,7,1,1,8,7,6,8,15,16,13,11,25,15,28,36,37,43,63,86,103,123,157,240,313,622,358,392,477
Computer Networks and Communications,https://openalex.org/subfields/1705,Software System Performance and Reliability,https://openalex.org/T12127,39,29,43,34,46,48,58,56,52,64,59,91,78,90,118,132,152,134,130,128,168,133,175,202,204,194,231,244,253,272,309,347,775,597,677,834,857,879,965,1026,1176,1189,1155,1250,1118,1227,1309,1308,1428,1485,1457,1375,1355,1634,1762
Computer Networks and Communications,https://openalex.org/subfields/1705,Software-Defined Networks and 5G,https://openalex.org/T10714,0,3,0,2,3,3,4,2,4,4,2,5,6,10,17,17,22,14,18,22,13,23,20,36,30,32,49,59,93,85,101,99,215,219,210,249,254,271,325,388,529,705,867,1266,1898,2205,2780,2980,3220,3336,2961,2793,2533,2704,1988
Computer Networks and Communications,https://openalex.org/subfields/1705,Technology and Education Systems,https://openalex.org/T14455,3,0,2,0,2,2,4,1,2,1,1,1,3,4,3,0,1,5,7,5,3,1,4,7,7,5,6,7,10,5,5,12,44,16,25,20,23,24,22,27,34,31,42,30,34,36,31,22,14,19,10,8,2,7,9
Computer Networks and Communications,https://openalex.org/subfields/1705,Wireless Communication Networks Research,https://openalex.org/T10575,48,49,48,71,67,107,69,123,113,151,170,170,210,230,247,186,294,233,228,276,325,386,412,546,713,806,1081,1178,1391,1594,1693,1800,10152,5490,3738,4390,3958,3284,3041,2725,2506,2319,2065,1746,1604,1311,1120,932,809,723,573,417,303,307,700
