sub_field_name,sub_field_id,topic_name,topic_id,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Artificial Intelligence,https://openalex.org/subfields/1702,AI-based Problem Solving and Planning,https://openalex.org/T10906,-19.15,-36.84,120.83,-18.87,48.84,-37.5,137.5,-43.16,35.19,20.55,-7.95,14.81,103.23,22.75,37.07,41.51,33.11,9.02,3.98,5.3,1.82,5.08,-2.88,1.08,-19.17,4.45,-11.51,-1.96,-4.91,-14.34,-8.93,220.59,-32.42,-36.2,50.71,-19.41,-0.58,-7.49,2.54,2.01,-2.88,-12.5,7.68,-4.31,-1.73,-11.11,-4.96,-5.85,1.77,-10.68,17.32,-45.95,4.62,50.74
Artificial Intelligence,https://openalex.org/subfields/1702,Algorithms and Data Compression,https://openalex.org/T11269,-1.54,28.12,-4.88,0.0,19.87,-14.97,9.43,12.07,0.0,14.36,13.45,11.46,3.9,-2.73,7.02,20.0,6.28,2.31,9.55,-0.92,14.12,19.07,-0.68,9.61,-8.45,7.86,-6.18,3.72,4.23,2.03,7.2,179.71,-35.5,-10.77,13.66,3.67,-3.92,-3.53,3.9,8.91,-6.39,0.77,11.34,-10.39,-8.01,-0.66,-2.34,-5.3,-7.22,-16.25,-14.63,-20.68,-1.2,31.42
Artificial Intelligence,https://openalex.org/subfields/1702,Anomaly Detection Techniques and Applications,https://openalex.org/T11512,11.11,10.0,-13.64,-47.37,150.0,-28.0,11.11,-5.0,0.0,31.58,32.0,-54.55,66.67,0.0,40.0,-28.57,80.0,-13.33,15.38,-17.78,48.65,14.55,17.46,-22.97,7.02,16.39,21.13,-13.95,24.32,11.96,6.8,85.45,5.88,35.19,21.58,27.32,5.97,37.37,5.62,13.38,10.53,0.34,18.99,5.19,11.43,17.72,14.7,26.67,25.71,10.64,17.76,4.19,21.53,43.78
Artificial Intelligence,https://openalex.org/subfields/1702,Artificial Intelligence Applications,https://openalex.org/T13904,-66.67,400.0,-100.0,0.0,0.0,300.0,0.0,-33.33,0.0,-100.0,100.0,200.0,0.0,-100.0,200.0,-50.0,100.0,-50.0,400.0,-60.0,50.0,-33.33,100.0,-50.0,-100.0,400.0,50.0,-16.67,900.0,-88.0,166.67,18.75,105.26,-25.64,37.93,-5.0,42.11,-24.07,-7.32,23.68,17.02,0.0,-38.18,11.76,28.95,-14.29,-11.9,10.81,95.12,21.25,58.76,0.0,16.23,-17.88
Artificial Intelligence,https://openalex.org/subfields/1702,Artificial Intelligence in Games,https://openalex.org/T11574,2.56,55.0,-6.45,10.34,-18.75,21.15,-11.11,25.0,-1.43,-24.64,32.69,43.48,-8.08,-7.69,17.86,-1.01,7.14,8.57,7.89,0.81,-8.87,12.39,0.0,-3.15,-16.26,76.7,-28.02,3.05,-5.19,39.84,12.85,60.89,-4.62,-0.97,28.99,7.83,18.27,-3.37,23.16,17.3,-2.13,6.96,-10.16,16.74,-4.78,-9.91,6.17,14.18,-0.25,5.48,22.31,-44.4,-3.12,11.47
Artificial Intelligence,https://openalex.org/subfields/1702,Authorship Attribution and Profiling,https://openalex.org/T12380,-37.5,220.0,-62.5,33.33,50.0,-25.0,33.33,-16.67,20.0,8.33,15.38,-13.33,-7.69,-50.0,133.33,78.57,-40.0,-20.0,41.67,-29.41,41.67,35.29,17.39,7.41,-37.93,77.78,21.88,2.56,-25.0,50.0,-17.78,43.24,49.06,13.92,4.44,9.57,45.63,-2.67,6.16,10.97,23.84,41.31,12.62,2.36,0.0,23.92,-3.26,1.44,2.13,0.46,-9.47,-20.66,-9.0,12.37
Artificial Intelligence,https://openalex.org/subfields/1702,Bayesian Methods and Mixture Models,https://openalex.org/T11901,8.18,14.29,23.53,-5.95,8.86,-11.63,-3.29,32.65,-0.51,-1.03,1.04,5.15,10.29,-12.89,11.22,23.85,-12.22,-0.42,5.93,-3.6,17.84,2.11,2.41,4.04,-4.53,30.17,-4.69,-3.01,22.82,-4.36,-0.72,44.69,-2.67,2.23,16.95,6.03,9.74,7.64,0.92,6.7,2.02,6.05,7.08,-0.37,-7.37,6.67,-8.12,-14.62,16.88,-9.77,9.7,-28.67,-4.61,9.37
Artificial Intelligence,https://openalex.org/subfields/1702,Bayesian Modeling and Causal Inference,https://openalex.org/T11303,-3.03,15.62,-4.05,9.86,-10.26,21.43,-4.71,11.11,-13.33,10.26,9.3,10.64,19.23,-15.32,7.62,31.86,18.79,14.69,-17.73,50.3,-8.37,5.65,11.11,7.78,11.34,6.17,2.03,-0.57,21.49,-2.83,2.18,81.0,-14.3,-0.77,22.53,4.41,5.07,-2.87,3.43,12.69,-3.85,-5.91,7.85,1.25,-8.73,2.81,-10.94,4.3,1.18,-5.24,3.69,-32.82,5.47,3.18
Artificial Intelligence,https://openalex.org/subfields/1702,Coding theory and cryptography,https://openalex.org/T11130,-0.75,16.54,-16.77,1.55,19.08,5.13,-14.63,32.14,-28.11,33.83,-14.61,16.45,24.86,1.81,-4.89,5.61,6.19,20.0,-3.47,32.01,-6.81,31.29,-2.9,7.34,7.69,-0.2,-1.79,10.32,7.89,-6.8,25.73,126.56,-31.07,-11.62,33.12,-10.58,8.13,0.57,-3.49,14.56,3.67,-1.56,5.33,-4.44,1.43,-1.06,1.21,-0.77,0.43,0.07,-3.6,-4.4,-0.08,-6.6
Artificial Intelligence,https://openalex.org/subfields/1702,Cognitive Computing and Networks,https://openalex.org/T13062,30.77,0.0,23.53,-9.52,-36.84,41.67,-29.41,116.67,-46.15,0.0,50.0,14.29,8.33,19.23,6.45,9.09,8.33,-2.56,23.68,6.38,-10.0,35.56,-1.64,-20.0,31.25,-7.94,-1.72,26.32,6.94,20.78,16.13,58.33,-1.75,41.07,11.39,26.52,-5.09,17.35,11.83,5.77,6.59,-16.42,-4.34,-2.13,-7.36,-4.71,-6.17,-2.3,-2.02,-4.12,-22.58,-3.24,7.18,79.02
